Industry,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206
1,11.020486,1.071963,1.293951,0.802100,0.448173,1.483057,0.008855,0.010055,0.028126,0.016637,0.011670,0.005721,0.010901,0.010732,0.031526,2.329255,4.201544,1.427121,1.344334,0.555786,0.597736,0.299804,0.766013,1.794155,0.513523,0.526120,0.522009,0.173533,0.377511,0.218583,0.161032,0.110837,0.057109,0.056308,0.015482,0.313816,0.186672,0.050583,0.034122,0.091022,0.051100,0.090844,0.063027,0.112447,0.020735,0.023392,0.021443,0.045152,0.014041,0.017726,0.014484,0.012979,0.010125,0.013268,0.013668,0.015148,0.013206,0.020314,0.017583,0.009888,0.019815,0.011547,0.017026,0.015949,0.021703,0.016193,0.010461,0.018931,0.017159,0.012582,0.011477,0.019313,0.016968,0.012068,0.023869,0.015843,0.020519,0.011970,0.018469,0.031872,0.036705,0.023861,0.010918,0.015829,0.022299,0.018760,0.072372,0.047944,0.081722,0.025462,0.073237,0.029951,0.060781,0.065287,0.011140,0.014250,0.014454,0.014027,0.014577,0.008466,0.013510,0.008219,0.008332,0.009521,0.004447,0.015562,0.005424,0.006986,0.006290,0.004357,0.005166,0.009270,0.006208,0.011167,0.023644,0.006978,0.006942,0.004582,0.004208,0.022401,0.009865,0.008680,0.013505,0.012373,0.002355,0.006633,0.008252,0.013220,0.015817,0.012714,0.009439,0.045532,0.016723,0.020769,0.007170,0.014701,0.007350,0.006221,0.011877,0.012734,0.013601,0.043080,0.022490,0.027968,0.033214,0.111993,0.011954,0.007577,0.008348,0.014089,0.022956,0.018558,0.026912,0.021867,0.036659,0.032827,0.036960,0.022992,0.077249,0.005456,0.017616,0.009330,0.003837,0.035579,0.056740,0.042272,0.308662,0.076612,0.157298,0.028627,0.009664,0.011242,0.014716,0.005106,0.014654,0.012279,0.010811,0.012352,0.008757,0.018186,0.000000,0.003923,0.000000,0.028791,0.000000,0.000000,0.033756,0.000000,0.000000,0.021758,0.000000,0.008998,0.000000,0.000000,0.000000,0.009000,0.000000,0.000000,0.000000,0.000000,0.115920,0.001593,0.000000,0.000000,0.000000,0.021758
2,0.255261,12.252412,2.887209,0.890539,0.033886,1.698518,0.004334,0.007237,0.008625,0.008075,0.004844,0.005429,0.015747,0.010198,0.022262,0.494222,0.154713,0.267944,0.637290,4.579115,6.264076,0.855686,0.265738,0.458160,0.085854,0.016160,0.041875,0.154515,0.589852,0.283766,0.195622,0.093192,0.039724,0.027991,0.005776,0.021804,0.017885,0.020605,0.034231,0.015343,0.019616,0.013672,0.016163,0.102180,0.012378,0.010055,0.009032,0.013203,0.009029,0.008750,0.009047,0.008704,0.008312,0.009475,0.009576,0.009265,0.008749,0.011043,0.008279,0.007500,0.008088,0.008426,0.012223,0.010088,0.009621,0.009055,0.007323,0.017664,0.009447,0.009146,0.008833,0.013414,0.008322,0.007276,0.010515,0.008844,0.009838,0.007992,0.009670,0.015165,0.020126,0.013787,0.006013,0.009695,0.011464,0.013726,0.067434,0.044521,0.021835,0.007788,0.030287,0.031841,0.006300,0.030882,0.009399,0.014411,0.027480,0.017429,0.011282,0.008288,0.010738,0.007621,0.009017,0.009199,0.003837,0.011108,0.006049,0.007215,0.005880,0.003414,0.004997,0.008574,0.006419,0.014044,0.026905,0.009295,0.007900,0.006542,0.004648,0.034361,0.009929,0.009476,0.014459,0.014179,0.002372,0.009010,0.009625,0.018737,0.024904,0.017249,0.013095,0.054121,0.011089,0.014600,0.009376,0.020858,0.008982,0.010225,0.014440,0.017704,0.020542,0.013590,0.036042,0.040143,0.100945,0.227379,0.015735,0.009132,0.006446,0.008596,0.032957,0.009675,0.037550,0.025249,0.064666,0.108421,0.076104,0.091261,0.213533,0.007230,0.021030,0.013549,0.004330,0.055144,0.158781,0.072195,0.487500,0.120472,0.387356,0.006949,0.011003,0.013482,0.011040,0.004197,0.008596,0.002694,0.010331,0.015748,0.009099,0.022228,0.000000,0.004102,0.000000,0.083489,0.000000,0.000000,0.031342,0.000000,0.000000,0.022065,0.000000,0.007843,0.000000,0.000000,0.000000,0.007845,0.000000,0.000000,0.000000,0.000000,0.191851,0.001407,0.000000,0.000000,0.000000,0.022065
3,0.002218,0.001191,1.282741,0.363514,0.001085,0.001880,0.000367,0.001720,0.001868,0.001046,0.000542,0.000423,0.000483,0.001036,0.006686,0.001511,0.001775,0.003776,0.001707,0.001517,0.001133,0.001036,0.001437,0.003055,0.002030,0.000795,0.001839,0.001595,0.250869,0.117318,0.080926,0.035860,0.013319,0.006541,0.000443,0.003338,0.002556,0.005762,0.000452,0.003134,0.001312,0.002191,0.003409,0.041375,0.003181,0.001698,0.001525,0.002974,0.001081,0.001158,0.000969,0.001197,0.001070,0.001094,0.001894,0.001430,0.001154,0.001587,0.001217,0.000709,0.001002,0.001441,0.002614,0.001498,0.001465,0.001246,0.000977,0.005113,0.001466,0.001042,0.000820,0.002691,0.001090,0.000752,0.001909,0.001211,0.001627,0.001081,0.001545,0.002837,0.005504,0.002661,0.000724,0.001454,0.002211,0.003457,0.025719,0.016274,0.005346,0.001142,0.008187,0.000707,0.000433,0.000621,0.000356,0.000582,0.000370,0.005410,0.000616,0.000658,0.000900,0.000564,0.000623,0.000929,0.000347,0.002306,0.000371,0.000833,0.000679,0.000388,0.000462,0.000919,0.000536,0.001855,0.001798,0.000388,0.000528,0.000282,0.000386,0.000839,0.001098,0.000548,0.001237,0.001101,0.000202,0.000404,0.000397,0.000587,0.000802,0.000595,0.000453,0.001464,0.001906,0.000532,0.000421,0.000519,0.000728,0.000290,0.000851,0.000800,0.000541,0.000688,0.001149,0.000991,0.000906,0.001663,0.000571,0.000343,0.000568,0.000555,0.000911,0.000671,0.000929,0.001130,0.001032,0.000506,0.001249,0.001534,0.002012,0.000348,0.000431,0.000442,0.000345,0.001337,0.000644,0.000827,0.001180,0.001094,0.001614,0.000626,0.000386,0.000386,0.000713,0.000292,0.001421,0.000194,0.000729,0.000843,0.000662,0.000862,0.000000,0.000253,0.000000,0.000432,0.000000,0.000000,0.001620,0.000000,0.000000,0.001633,0.000000,0.001150,0.000000,0.000000,0.000000,0.001150,0.000000,0.000000,0.000000,0.000000,0.003010,0.000252,0.000000,0.000000,0.000000,0.001633
4,0.008112,0.007770,0.007189,7.646554,0.008406,0.006161,0.002941,0.017366,0.007641,0.006504,0.004091,0.003748,0.004526,0.008996,0.059056,0.012601,0.013154,0.022323,0.016664,0.014824,0.010043,0.010192,0.015039,0.016463,0.016251,0.009284,0.015089,0.009950,1.935801,1.477113,0.642724,0.549762,0.199170,0.082188,0.003334,0.011251,0.013533,0.008818,0.004209,0.010817,0.012510,0.019889,0.032778,0.008903,0.029029,0.016059,0.012642,0.031985,0.009663,0.010469,0.009705,0.010048,0.009225,0.010125,0.017754,0.012324,0.010932,0.014233,0.010658,0.006534,0.007792,0.010683,0.010625,0.012603,0.012411,0.011013,0.008297,0.041883,0.011794,0.009296,0.008312,0.023110,0.009812,0.007157,0.023713,0.012714,0.012031,0.010071,0.011933,0.015519,0.035007,0.020403,0.005530,0.007746,0.019223,0.016008,0.228923,0.154280,0.031437,0.011861,0.047305,0.006699,0.004057,0.006097,0.003580,0.005861,0.003484,0.042327,0.005820,0.004895,0.007697,0.005407,0.006066,0.008385,0.003225,0.028463,0.004144,0.008077,0.006772,0.003786,0.004440,0.008689,0.005088,0.018117,0.019430,0.004213,0.005589,0.002894,0.003344,0.008393,0.009534,0.004723,0.011057,0.010008,0.002322,0.004443,0.004164,0.005347,0.008297,0.005880,0.004919,0.012292,0.022502,0.005997,0.004481,0.005374,0.006934,0.003279,0.009709,0.009064,0.005354,0.006065,0.013516,0.008998,0.008284,0.016026,0.005800,0.003304,0.005977,0.005230,0.009560,0.004967,0.008527,0.010206,0.010207,0.005170,0.012489,0.014719,0.017742,0.003404,0.004198,0.004506,0.003511,0.013707,0.006211,0.008454,0.010978,0.011949,0.015557,0.004754,0.003728,0.003467,0.005760,0.002731,0.010855,0.001749,0.005764,0.007999,0.006808,0.008263,0.000000,0.002430,0.000000,0.004405,0.000000,0.000000,0.011142,0.000000,0.000000,0.016767,0.000000,0.009970,0.000000,0.000000,0.000000,0.009972,0.000000,0.000000,0.000000,0.000000,0.029420,0.002240,0.000000,0.000000,0.000000,0.016767
5,0.001478,0.011515,0.004237,0.001548,6.611720,0.003819,0.000366,0.000314,0.000377,0.000476,0.000406,0.000641,0.002415,0.000761,0.000739,0.055696,0.002921,0.002053,0.092196,0.007269,0.032804,2.621555,0.005068,0.006508,0.001849,0.000276,0.000674,0.001642,0.001467,0.000915,0.000861,0.000702,0.000664,0.001125,0.000456,0.000802,0.000746,0.005770,0.000461,0.000636,0.000523,0.000667,0.000728,0.000808,0.000511,0.000600,0.000560,0.000541,0.000539,0.000547,0.000528,0.000503,0.000532,0.000717,0.000509,0.000603,0.000554,0.000667,0.000517,0.000666,0.000608,0.000482,0.000540,0.000635,0.000518,0.000501,0.000517,0.000507,0.000540,0.000436,0.000643,0.000500,0.000505,0.000518,0.000534,0.000486,0.000472,0.000411,0.000522,0.000554,0.000539,0.000583,0.000408,0.000584,0.000571,0.000484,0.000677,0.000604,0.000538,0.000427,0.000725,0.000729,0.000548,0.012077,0.000360,0.001263,0.005218,0.000462,0.000957,0.000876,0.000695,0.000863,0.000570,0.001093,0.000338,0.000610,0.000603,0.000765,0.000465,0.000272,0.000504,0.000844,0.000704,0.001416,0.001538,0.001345,0.000960,0.000998,0.000559,0.002274,0.001137,0.001225,0.001410,0.000944,0.000264,0.001345,0.001464,0.002580,0.004434,0.001867,0.001931,0.002906,0.000837,0.001866,0.001379,0.003531,0.001114,0.001601,0.001674,0.002754,0.001790,0.001399,0.004922,0.002556,0.022253,0.011743,0.001917,0.001208,0.000630,0.000879,0.003024,0.000870,0.002339,0.001767,0.004927,0.009727,0.001749,0.002095,0.003418,0.000452,0.001291,0.001147,0.000423,0.003146,0.018526,0.007325,0.015844,0.011745,0.080061,0.000526,0.000588,0.000463,0.000798,0.000450,0.000492,0.000141,0.000805,0.002196,0.001106,0.003902,0.000000,0.000546,0.000000,0.007629,0.000000,0.000000,0.001887,0.000000,0.000000,0.001790,0.000000,0.000661,0.000000,0.000000,0.000000,0.000661,0.000000,0.000000,0.000000,0.000000,0.009784,0.000121,0.000000,0.000000,0.000000,0.001790
6,0.805647,0.291532,2.902683,1.097928,0.061930,6.972291,0.001676,0.005153,0.006502,0.004052,0.002271,0.001594,0.002374,0.003920,0.019462,0.180830,0.310511,0.116629,0.112759,0.122921,0.154106,0.049465,0.063600,0.144969,0.043551,0.040356,0.042933,0.019281,0.638631,0.319977,0.209547,0.104267,0.039934,0.021535,0.002343,0.030671,0.019807,0.016787,0.004202,0.014008,0.007319,0.012223,0.013275,0.099235,0.009541,0.006092,0.005457,0.010973,0.003871,0.004318,0.003654,0.004039,0.003536,0.003867,0.005847,0.004785,0.003991,0.005590,0.004425,0.002637,0.004038,0.004469,0.007457,0.005014,0.005335,0.004408,0.003300,0.014059,0.004988,0.003663,0.003089,0.008206,0.004094,0.002901,0.006833,0.004359,0.005587,0.003697,0.005263,0.009215,0.016008,0.008399,0.002679,0.004748,0.007238,0.009591,0.069042,0.044190,0.018826,0.004846,0.025236,0.004500,0.005619,0.006919,0.001882,0.002833,0.002510,0.014354,0.002892,0.002374,0.003442,0.002211,0.002372,0.003166,0.001276,0.007340,0.001472,0.002724,0.002288,0.001354,0.001649,0.003153,0.001938,0.005710,0.008585,0.001704,0.002039,0.001196,0.001365,0.007138,0.003664,0.002184,0.004310,0.003885,0.000751,0.001715,0.001812,0.003197,0.003663,0.003168,0.002280,0.012607,0.006285,0.003162,0.001969,0.002846,0.002588,0.001426,0.003648,0.003349,0.003914,0.005313,0.006298,0.008382,0.008710,0.024557,0.003112,0.001604,0.002174,0.002587,0.006532,0.003177,0.007730,0.006243,0.010562,0.005597,0.007940,0.007283,0.014847,0.001429,0.003021,0.002541,0.001294,0.011646,0.008552,0.006460,0.034434,0.011474,0.022826,0.003734,0.001885,0.002022,0.003021,0.001189,0.004676,0.001440,0.003099,0.003323,0.002538,0.003909,0.000000,0.001005,0.000000,0.005741,0.000000,0.000000,0.007021,0.000000,0.000000,0.013946,0.000000,0.003717,0.000000,0.000000,0.000000,0.003718,0.000000,0.000000,0.000000,0.000000,0.038295,0.000766,0.000000,0.000000,0.000000,0.013946
7,0.048742,0.039017,0.029404,0.018232,0.042499,0.026731,1.724126,0.033258,0.048584,0.101484,0.458175,0.198273,0.160413,0.075539,0.027903,0.028224,0.036118,0.032675,0.025841,0.028936,0.029617,0.030017,0.021170,0.027017,0.021851,0.007908,0.038148,0.021951,0.024851,0.025272,0.019919,0.032123,0.023917,0.030837,0.989480,0.170956,0.097139,0.065493,0.010190,0.053991,0.033805,0.063288,0.041160,0.036222,0.025806,0.031848,0.030394,0.030720,0.038519,0.026863,0.034205,0.022156,0.018623,0.023040,0.016183,0.018311,0.021113,0.017356,0.017491,0.015823,0.033716,0.015829,0.017460,0.015408,0.035065,0.014694,0.012919,0.015541,0.015654,0.012194,0.011956,0.015045,0.017429,0.012730,0.022862,0.023555,0.019834,0.017658,0.030825,0.016062,0.016650,0.018309,0.011885,0.014962,0.013427,0.014731,0.018814,0.018608,0.018164,0.012487,0.021170,0.007723,0.007810,0.012625,0.008574,0.009632,0.116598,0.047401,0.055479,0.055628,0.160477,0.181668,0.037120,0.011129,0.014155,0.009475,0.004361,0.007354,0.006382,0.004345,0.006298,0.009987,0.006798,0.009190,0.018664,0.007147,0.008467,0.003451,0.004045,0.020691,0.018012,0.008155,0.010370,0.009477,0.004953,0.006343,0.007065,0.010803,0.008722,0.011591,0.008606,0.030389,0.010802,0.008504,0.006342,0.010607,0.008196,0.004966,0.011001,0.015344,0.012215,0.040906,0.016021,0.049687,0.025685,0.055021,0.012144,0.005996,0.007490,0.012220,0.018393,0.013195,0.022300,0.020129,0.028978,0.012257,0.014448,0.008493,0.016312,0.006636,0.011417,0.018008,0.004893,0.037368,0.013382,0.025532,0.022413,0.019229,0.017513,0.008637,0.006192,0.005402,0.007839,0.006458,0.010535,0.008689,0.011522,0.011288,0.008860,0.011619,0.000000,0.011051,0.000000,0.010544,0.000000,0.000000,0.044553,0.000000,0.000000,0.026255,0.000000,0.076818,0.000000,0.000000,0.000000,0.076837,0.000000,0.000000,0.000000,0.000000,0.099161,0.001590,0.000000,0.000000,0.000000,0.026255
8,0.006746,0.025189,0.009774,0.004313,0.005350,0.007703,0.010951,3.923814,0.021118,0.020003,0.055255,0.094859,0.023859,0.025678,0.013206,0.014518,0.017641,0.017108,0.018601,0.018251,0.019389,0.013000,0.013487,0.012172,0.017643,0.004375,0.012783,0.007863,0.007374,0.007952,0.011594,0.038314,0.020343,0.010839,0.013814,0.017795,0.014729,0.011420,0.002742,0.011182,0.006934,0.010259,0.012702,0.019521,0.056763,0.056680,0.041176,0.058114,0.392497,0.113703,0.050034,0.032728,0.041750,0.089720,0.041930,0.065035,0.057594,0.033382,0.044742,0.030725,0.044063,0.033852,0.034807,0.024716,0.013356,0.025542,0.026884,0.023117,0.029097,0.007254,0.007183,0.022495,0.008750,0.009556,0.015463,0.021407,0.037800,0.024783,0.023703,0.024445,0.025813,0.043284,0.014135,0.040100,0.017251,0.036522,0.012861,0.030390,0.012203,0.006921,0.015978,0.003632,0.003288,0.005527,0.003730,0.003983,0.003516,0.004401,0.008335,0.005171,0.005897,0.006938,0.006702,0.003995,0.003649,0.004981,0.001671,0.002720,0.002756,0.003208,0.002826,0.004676,0.002828,0.003835,0.006086,0.001910,0.003325,0.001243,0.001625,0.004538,0.012624,0.002901,0.004803,0.003814,0.001418,0.002526,0.003840,0.004442,0.003263,0.004164,0.002651,0.011672,0.004505,0.002977,0.002623,0.003399,0.003533,0.001517,0.003629,0.005089,0.003325,0.004276,0.004678,0.007712,0.006046,0.010013,0.003616,0.002044,0.003278,0.004216,0.004654,0.003411,0.005231,0.005160,0.006247,0.004535,0.004977,0.004297,0.006111,0.001977,0.003857,0.002980,0.001574,0.008686,0.005057,0.009062,0.008293,0.006348,0.009100,0.005435,0.002841,0.002768,0.005118,0.002732,0.005533,0.002905,0.004476,0.004777,0.003522,0.004658,0.000000,0.001835,0.000000,0.008152,0.000000,0.000000,0.009654,0.000000,0.000000,0.044598,0.000000,0.025035,0.000000,0.000000,0.000000,0.025041,0.000000,0.000000,0.000000,0.000000,0.013823,0.000638,0.000000,0.000000,0.000000,0.044598
9,0.004734,0.003105,0.003111,0.001629,0.003055,0.004046,0.004537,0.004468,4.107017,0.005527,0.081686,0.001358,0.001528,0.002515,0.007306,0.004736,0.003764,0.003399,0.004579,0.002854,0.002446,0.002360,0.002133,0.003711,0.008131,0.001451,0.007710,0.003805,0.002966,0.003032,0.005981,0.004670,0.004484,0.003895,0.004106,0.039349,0.021626,0.021689,0.001996,0.017063,0.005413,0.014278,0.009106,0.011601,0.017201,0.006985,0.006096,0.023982,0.159834,0.078909,0.058627,0.404440,0.026756,0.053432,0.021972,0.031820,0.034590,0.025654,0.056591,0.019488,0.026323,0.026049,0.018817,0.015980,0.010444,0.028204,0.018316,0.014842,0.017172,0.009577,0.010026,0.017408,0.015972,0.010448,0.010416,0.018166,0.025062,0.036631,0.058942,0.014195,0.015408,0.024602,0.009758,0.026172,0.011539,0.020513,0.006633,0.013874,0.009686,0.008181,0.020984,0.001804,0.001406,0.001075,0.000717,0.001413,0.001334,0.002728,0.003486,0.002536,0.002726,0.002464,0.002112,0.001770,0.001241,0.004032,0.000861,0.002467,0.002861,0.002635,0.001749,0.003272,0.001910,0.002431,0.009634,0.000748,0.001143,0.000491,0.000635,0.001554,0.003825,0.001523,0.008549,0.003807,0.000959,0.001114,0.001660,0.003027,0.001428,0.002167,0.001104,0.007245,0.003045,0.001435,0.001124,0.001770,0.001516,0.000624,0.001662,0.001697,0.002891,0.002263,0.001733,0.003139,0.002615,0.002810,0.006004,0.000882,0.001547,0.002000,0.001846,0.002472,0.001951,0.002236,0.002005,0.001275,0.001908,0.001705,0.002092,0.032875,0.001820,0.002443,0.001072,0.002117,0.003039,0.001702,0.010845,0.001694,0.002963,0.002722,0.002249,0.001749,0.003153,0.002854,0.005326,0.000800,0.004801,0.001647,0.006976,0.002317,0.000000,0.000733,0.000000,0.001161,0.000000,0.000000,0.006180,0.000000,0.000000,0.004584,0.000000,0.002738,0.000000,0.000000,0.000000,0.002739,0.000000,0.000000,0.000000,0.000000,0.004465,0.000289,0.000000,0.000000,0.000000,0.004584
10,0.076496,0.021129,0.024590,0.012034,0.008388,0.038007,0.009470,0.126824,0.033366,5.470525,0.129221,0.010840,0.005930,0.027775,0.070952,0.035441,0.034871,0.020537,0.016563,0.013243,0.013566,0.007613,0.010907,0.022258,0.014822,0.006380,0.029464,0.012344,0.014838,0.013685,0.017258,0.034593,0.020274,0.013368,0.026929,0.228985,0.081707,0.237950,0.008315,0.106138,0.022697,0.058733,0.032427,0.029342,0.261703,0.090462,0.440151,0.365438,0.031474,0.017766,0.009043,0.009592,0.022665,0.012574,0.010625,0.013664,0.011023,0.011135,0.010477,0.008797,0.017814,0.009361,0.011177,0.011371,0.011790,0.011019,0.012017,0.013500,0.010652,0.007524,0.008105,0.009833,0.011557,0.007539,0.012730,0.012196,0.018523,0.009431,0.014021,0.012218,0.012163,0.013871,0.011032,0.009663,0.008688,0.010532,0.015521,0.011419,0.011158,0.009550,0.014578,0.003560,0.002658,0.003089,0.002100,0.003125,0.004835,0.012530,0.005464,0.004123,0.008549,0.006403,0.006520,0.003856,0.002552,0.004508,0.001594,0.002213,0.002139,0.002533,0.003297,0.007002,0.003928,0.005246,0.006513,0.002105,0.002716,0.001154,0.001503,0.006077,0.011638,0.002661,0.003000,0.003649,0.001085,0.002265,0.002253,0.006917,0.003924,0.003860,0.002836,0.013174,0.004499,0.003310,0.002191,0.004587,0.004404,0.001266,0.003589,0.003556,0.003694,0.005330,0.004833,0.008155,0.006649,0.013955,0.003617,0.002695,0.003907,0.008920,0.006518,0.010162,0.008920,0.008851,0.008628,0.003675,0.005635,0.003536,0.007454,0.001906,0.002685,0.002721,0.001199,0.009454,0.003784,0.006088,0.007852,0.005204,0.009118,0.003290,0.002375,0.002147,0.003775,0.002318,0.016967,0.002073,0.004575,0.006320,0.002953,0.004470,0.000000,0.001778,0.000000,0.003160,0.000000,0.000000,0.011623,0.000000,0.000000,0.013964,0.000000,0.017459,0.000000,0.000000,0.000000,0.017463,0.000000,0.000000,0.000000,0.000000,0.025252,0.002684,0.000000,0.000000,0.000000,0.013964
